Region	Liberty Lakes (050)								Dew Drops (100)								Winds of Muse (100)								Fount (150)								Resting Water (150)								Enchanted Islae (200)								Bounty Beaches (200)								Lands of Loria (250)							
Mat. Type	Lake Materials								Lake Materials								Lake Materials								Lake Materials								Lake Materials								Lake Materials								Lake Materials								Lake Materials							
Material	Spring		Sum.		Aut.		Winter		Spring		Sum.		Aut.		Winter		Spring		Sum.		Aut.		Winter		Spring		Sum.		Aut.		Winter		Spring		Sum.		Aut.		Winter		Spring		Sum.		Aut.		Winter		Spring		Sum.		Aut.		Winter		Spring		Sum.		Aut.		Winter	
																																																																
Amber																																																																
Beng	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad
Hash	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse
Pha	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA
Sha	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good
Soo	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad
Zun	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA
																																																																
Seed																																																																
Caprice	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad
Sarina	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse
Saurona	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad
Silvio	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse
																																																																
Fiber																																																																
Anete	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA
Buo	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse
Dzao	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA
Shu	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA
																																																																
Bark																																																																
Adriel	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good
Beckers	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad
Mitexi	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse
Oath	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse
Perfling	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse
																																																																
Sap																																																																
Dante	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA
Enola	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good
Redhot	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA
Silverweed	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad
Viscous	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA
																																																																
Resin																																																																
Dung	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good
Fung	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA
Glue	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA
Moon	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA
																																																																
Oil																																																																
Gulatch	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad
Irin	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse
Koorin	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad
Pilan	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse
																																																																
Shell																																																																
Big	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA	Best	Worse	NA	NA
Cuty	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA	Good	Bad	NA	NA
Horny	Best	Good	NA	NA	Best	Good	NA	NA	Best	Good	NA	NA	Best	Good	NA	NA	Best	Good	NA	NA	Best	Good	NA	NA	Best	Good	NA	NA	Best	Good	NA	NA	Best	Good	NA	NA	Best	Good	NA	NA	Best	Good	NA	NA	Best	Good	NA	NA	Best	Good	NA	NA	Best	Good	NA	NA	Best	Good	NA	NA	Best	Good	NA	NA
Smart	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA
Splinter	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA
																																																																
Wood																																																																
Abhaya 	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse
Eyota	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA
Kachine	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA
Motega	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse
Tama	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA
																																																																
Wood Node																																																																
Nita	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA
Patee	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA
Scrath	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA
Tansy	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA
Yana	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA
																																																																
																																																																
	LEGEND:		Bad	Day		TOOL DEVELOPMENT:					FyrosFreddy			DATA COLLECTORS:					Hijati																																													
			Good	Night		WEB IG PROGRAMMING:					Karu								Mehtori																																													
